Date:Mean infrastructure per profile:Median infrastructure per profile:Top infrastructure per profile:Second infrastructure per profile:Third infrastructure per profile:Forth infrastructure per profile:Fifth infrastructure per profile
2013-06-28:1,9361702127659575:1,0:5:5:5:5:5
2013-07-01:1,9583333333333335:1,0:5:5:5:5:5
2013-07-02:2,145833333333333:1,0:12:5:5:5:5
2013-07-02:1,9583333333333335:1,0:5:5:5:5:5
2013-07-02:2,145833333333333:1,0:12:5:5:5:5
2013-07-02:2,145833333333333:1,0:12:5:5:5:5
2013-07-03:2,276595744680851:1,0:12:8:7:5:5
2013-07-03:2,276595744680851:1,0:12:8:7:5:5
2013-07-03:2,234042553191489:1,0:12:8:5:5:5
2013-07-03:2,208333333333333:1,0:12:8:5:5:5
2013-07-03:2,234042553191489:1,0:12:8:5:5:5
2013-07-03:2,145833333333333:1,0:12:5:5:5:5
2013-07-04:2,276595744680851:1,0:12:8:7:5:5
2013-07-04:2,276595744680851:1,0:12:8:7:5:5
2013-07-04:2,276595744680851:1,0:12:8:7:5:5
2013-07-04:2,276595744680851:1,0:12:8:7:5:5
2013-07-04:2,276595744680851:1,0:12:8:7:5:5
2013-07-04:2,276595744680851:1,0:12:8:7:5:5
2013-07-04:2,276595744680851:1,0:12:8:7:5:5
2013-07-05:2,340425531914893:1,0:12:8:8:7:5
2013-07-05:2,340425531914893:1,0:12:8:8:7:5
2013-07-05:2,340425531914893:1,0:12:8:8:7:5
2013-07-05:2,340425531914893:1,0:12:8:8:7:5
2013-07-05:2,340425531914893:1,0:12:8:8:7:5
2013-07-07:2,340425531914893:1,0:12:8:8:7:5
2013-07-08:2,340425531914893:1,0:12:8:8:7:5
2013-07-08:2,382978723404255:1,0:12:8:8:7:5
2013-07-08:2,382978723404255:1,0:12:8:8:7:5
2013-07-08:2,382978723404255:1,0:12:8:8:7:5
2013-07-08:2,382978723404255:1,0:12:8:8:7:5
2013-07-08:2,382978723404255:1,0:12:8:8:7:5
2013-07-08:2,382978723404255:1,0:12:8:8:7:5
2013-07-08:2,382978723404255:1,0:12:8:8:7:5
2013-07-08:2,382978723404255:1,0:12:8:8:7:5
2013-07-09:2,382978723404255:1,0:12:8:8:7:5
2013-07-09:2,382978723404255:1,0:12:8:8:7:5
2013-07-09:2,382978723404255:1,0:12:8:8:7:5
2013-07-09:2,382978723404255:1,0:12:8:8:7:5
2013-07-10:2,382978723404255:1,0:12:8:8:7:5
2013-07-10:2,4468085106382977:1,0:12:8:8:7:5
2013-07-10:2,382978723404255:1,0:12:8:8:7:5
2013-07-10:2,382978723404255:1,0:12:8:8:7:5
2013-07-10:2,4468085106382977:1,0:12:8:8:7:5
2013-07-10:2,382978723404255:1,0:12:8:8:7:5
2013-07-10:2,382978723404255:1,0:12:8:8:7:5
2013-07-10:2,382978723404255:1,0:12:8:8:7:5
2013-07-11:2,4468085106382977:1,0:12:8:8:7:5
2013-07-11:2,4468085106382977:1,0:12:8:8:7:5
2013-07-11:2,4468085106382977:1,0:12:8:8:7:5
2013-07-11:2,4468085106382977:1,0:12:8:8:7:5
2013-07-11:2,4468085106382977:1,0:12:8:8:7:5
2013-07-11:2,4468085106382977:1,0:12:8:8:7:5
2013-07-12:2,4468085106382977:1,0:12:8:8:7:5
2013-07-12:2,4468085106382977:1,0:12:8:8:7:5
2013-07-12:2,4468085106382977:1,0:12:8:8:7:5
2013-07-12:2,4468085106382977:1,0:12:8:8:7:5
2013-07-12:2,4468085106382977:1,0:12:8:8:7:5
2013-07-12:2,4468085106382977:1,0:12:8:8:7:5
2013-07-15:2,4468085106382977:1,0:12:8:8:7:5
2013-07-15:2,4375:1,0:12:8:8:7:5
2013-07-15:2,4375:1,0:12:8:8:7:5
2013-07-15:2,4375:1,0:12:8:8:7:5
2013-07-17:2,4468085106382977:1,0:12:8:8:7:5
2013-07-17:2,4375:1,0:12:8:8:7:5
2013-07-17:2,4375:1,0:12:8:8:7:5
2013-07-17:2,4375:1,0:12:8:8:7:5
2013-07-17:2,4468085106382977:1,0:12:8:8:7:5
2013-07-19:2,4375:1,0:12:8:8:7:5
