Date:Alpha:Beta:Production:Mean StatusSince:Median StatusSince:Youngest StatusSince:Second youngest StatusSince:Third youngest StatusSince:Oldest StatusSince:Second oldest StatusSince:Third oldest StatusSince
2013-06-28:0,0:33,33333333333333:66,66666666666666:854,3333333333333:786,0:43:70:122:2204:2201:2068
2013-07-01:0,0:33,33333333333333:66,66666666666666:779,8431372549019:620,0:21:46:73:2495:2107:2086
2013-07-02:0,0:32,30769230769231:67,6923076923077:780,8431372549019:621,0:22:47:74:2496:2108:2087
2013-07-02:0,0:32,30769230769231:67,6923076923077:780,8431372549019:621,0:22:47:74:2496:2108:2087
2013-07-02:0,0:32,30769230769231:67,6923076923077:780,8431372549019:621,0:22:47:74:2496:2108:2087
2013-07-02:0,0:32,30769230769231:67,6923076923077:780,8431372549019:621,0:22:47:74:2496:2108:2087
2013-07-03:0,0:32,8125:67,1875:781,08:613,0:23:48:75:2497:2109:2088
2013-07-03:0,0:32,8125:67,1875:781,08:613,0:23:48:75:2497:2109:2088
2013-07-03:0,0:32,8125:67,1875:781,08:613,0:23:48:75:2497:2109:2088
2013-07-03:0,0:32,30769230769231:67,6923076923077:781,8431372549019:622,0:23:48:75:2497:2109:2088
2013-07-03:0,0:32,8125:67,1875:781,08:613,0:23:48:75:2497:2109:2088
2013-07-03:0,0:32,30769230769231:67,6923076923077:781,8431372549019:622,0:23:48:75:2497:2109:2088
2013-07-04:0,0:32,8125:67,1875:782,08:614,0:24:49:76:2498:2110:2089
2013-07-04:0,0:32,8125:67,1875:782,08:614,0:24:49:76:2498:2110:2089
2013-07-04:0,0:32,8125:67,1875:782,08:614,0:24:49:76:2498:2110:2089
2013-07-04:0,0:32,8125:67,1875:782,08:614,0:24:49:76:2498:2110:2089
2013-07-04:0,0:32,8125:67,1875:782,08:614,0:24:49:76:2498:2110:2089
2013-07-04:0,0:32,8125:67,1875:782,08:614,0:24:49:76:2498:2110:2089
2013-07-04:0,0:32,8125:67,1875:782,08:614,0:24:49:76:2498:2110:2089
2013-07-05:0,0:32,8125:67,1875:783,08:615,0:25:50:77:2499:2111:2090
2013-07-05:0,0:32,8125:67,1875:783,08:615,0:25:50:77:2499:2111:2090
2013-07-05:0,0:32,8125:67,1875:783,08:615,0:25:50:77:2499:2111:2090
2013-07-05:0,0:32,8125:67,1875:783,08:615,0:25:50:77:2499:2111:2090
2013-07-05:0,0:32,8125:67,1875:783,08:615,0:25:50:77:2499:2111:2090
2013-07-07:0,0:32,8125:67,1875:780,54:617,0:27:52:79:2501:2113:2092
2013-07-08:0,0:32,8125:67,1875:781,54:618,0:28:53:80:2502:2114:2093
2013-07-08:0,0:32,8125:67,1875:781,54:618,0:28:53:80:2502:2114:2093
2013-07-08:0,0:32,8125:67,1875:781,54:618,0:28:53:80:2502:2114:2093
2013-07-08:0,0:32,8125:67,1875:781,54:618,0:28:53:80:2502:2114:2093
2013-07-08:0,0:32,8125:67,1875:781,54:618,0:28:53:80:2502:2114:2093
2013-07-08:0,0:32,8125:67,1875:781,54:618,0:28:53:80:2502:2114:2093
2013-07-08:0,0:32,8125:67,1875:781,54:618,0:28:53:80:2502:2114:2093
2013-07-08:0,0:32,8125:67,1875:781,54:618,0:28:53:80:2502:2114:2093
2013-07-08:0,0:32,8125:67,1875:781,54:618,0:28:53:80:2502:2114:2093
2013-07-09:0,0:32,8125:67,1875:782,54:619,0:29:54:81:2503:2115:2094
2013-07-09:0,0:32,8125:67,1875:782,54:619,0:29:54:81:2503:2115:2094
2013-07-09:0,0:32,8125:67,1875:782,54:619,0:29:54:81:2503:2115:2094
2013-07-09:0,0:32,8125:67,1875:782,54:619,0:29:54:81:2503:2115:2094
2013-07-10:0,0:32,8125:67,1875:783,54:620,0:30:55:82:2504:2116:2095
2013-07-10:0,0:32,8125:67,1875:783,54:620,0:30:55:82:2504:2116:2095
2013-07-10:0,0:32,8125:67,1875:783,54:620,0:30:55:82:2504:2116:2095
2013-07-10:0,0:32,8125:67,1875:783,54:620,0:30:55:82:2504:2116:2095
2013-07-10:0,0:32,8125:67,1875:783,54:620,0:30:55:82:2504:2116:2095
2013-07-10:0,0:32,8125:67,1875:783,54:620,0:30:55:82:2504:2116:2095
2013-07-10:0,0:32,8125:67,1875:783,54:620,0:30:55:82:2504:2116:2095
2013-07-10:0,0:32,8125:67,1875:783,54:620,0:30:55:82:2504:2116:2095
2013-07-11:0,0:32,8125:67,1875:785,2549019607844:630,0:31:56:83:2505:2117:2096
2013-07-11:0,0:32,8125:67,1875:785,2549019607844:630,0:31:56:83:2505:2117:2096
2013-07-11:0,0:32,8125:67,1875:785,2549019607844:630,0:31:56:83:2505:2117:2096
2013-07-11:0,0:32,8125:67,1875:785,2549019607844:630,0:31:56:83:2505:2117:2096
2013-07-11:0,0:32,8125:67,1875:785,2549019607844:630,0:31:56:83:2505:2117:2096
2013-07-11:0,0:32,8125:67,1875:784,54:621,0:31:56:83:2505:2117:2096
2013-07-12:0,0:32,8125:67,1875:786,2549019607844:631,0:32:57:84:2506:2118:2097
2013-07-12:0,0:32,8125:67,1875:786,2549019607844:631,0:32:57:84:2506:2118:2097
2013-07-12:0,0:32,8125:67,1875:786,2549019607844:631,0:32:57:84:2506:2118:2097
2013-07-12:0,0:32,8125:67,1875:786,2549019607844:631,0:32:57:84:2506:2118:2097
2013-07-12:0,0:32,8125:67,1875:786,2549019607844:631,0:32:57:84:2506:2118:2097
2013-07-12:0,0:32,8125:67,1875:786,2549019607844:631,0:32:57:84:2506:2118:2097
2013-07-15:0,0:32,8125:67,1875:789,2549019607844:634,0:35:60:87:2509:2121:2100
2013-07-15:0,0:32,8125:67,1875:789,2549019607844:634,0:35:60:87:2509:2121:2100
2013-07-15:0,0:31,25:68,75:772,2941176470589:616,0:35:44:60:2509:2121:2100
2013-07-15:0,0:31,25:68,75:772,2941176470589:616,0:35:44:60:2509:2121:2100
2013-07-17:0,0:32,8125:67,1875:791,2549019607844:636,0:37:62:89:2511:2123:2102
2013-07-17:0,0:31,25:68,75:774,2941176470589:618,0:37:46:62:2511:2123:2102
2013-07-17:0,0:31,25:68,75:774,2941176470589:618,0:37:46:62:2511:2123:2102
2013-07-17:0,0:31,25:68,75:774,2941176470589:618,0:37:46:62:2511:2123:2102
2013-07-17:0,0:32,8125:67,1875:791,2549019607844:636,0:37:62:89:2511:2123:2102
2013-07-19:0,0:31,25:68,75:776,2941176470589:620,0:39:48:64:2513:2125:2104
2013-07-19:0,0:31,25:68,75:776,2941176470589:620,0:39:48:64:2513:2125:2104
2013-07-19:0,0:32,8125:67,1875:793,2549019607844:638,0:39:64:91:2513:2125:2104
2013-07-19:0,0:31,25:68,75:776,2941176470589:620,0:39:48:64:2513:2125:2104
2013-07-22:0,0:31,25:68,75:779,2941176470589:623,0:42:51:67:2516:2128:2107
2013-07-22:0,0:31,25:68,75:779,2941176470589:623,0:42:51:67:2516:2128:2107
2013-07-22:0,0:31,25:68,75:779,2941176470589:623,0:42:51:67:2516:2128:2107
2013-07-24:0,0:32,30769230769231:67,6923076923077:781,2941176470589:625,0:44:53:69:2518:2130:2109
2013-07-24:0,0:32,30769230769231:67,6923076923077:770,7115384615383:619,5:44:53:69:2518:2130:2109
2013-07-24:0,0:32,30769230769231:67,6923076923077:770,7115384615383:619,5:44:53:69:2518:2130:2109
2013-07-25:0,0:32,30769230769231:67,6923076923077:771,7115384615385:620,5:45:54:70:2519:2131:2110
2013-07-25:0,0:32,30769230769231:67,6923076923077:771,7115384615385:620,5:45:54:70:2519:2131:2110
2013-07-26:0,0:32,30769230769231:67,6923076923077:772,7115384615385:621,5:46:55:71:2520:2132:2111
2013-07-26:0,0:32,30769230769231:67,6923076923077:772,7115384615385:621,5:46:55:71:2520:2132:2111
2013-07-26:0,0:32,30769230769231:67,6923076923077:772,7115384615385:621,5:46:55:71:2520:2132:2111
2013-07-29:0,0:32,30769230769231:67,6923076923077:775,7115384615385:624,5:49:58:74:2523:2135:2114
2013-07-29:0,0:32,30769230769231:67,6923076923077:775,7115384615385:624,5:49:58:74:2523:2135:2114
2013-07-29:0,0:32,30769230769231:67,6923076923077:775,7115384615385:624,5:49:58:74:2523:2135:2114
2013-07-30:0,0:32,30769230769231:67,6923076923077:776,7115384615385:625,5:50:59:75:2524:2136:2115
2013-08-06:0,0:32,30769230769231:67,6923076923077:783,7115384615385:632,5:57:66:82:2531:2143:2122
2013-08-06:0,0:32,30769230769231:67,6923076923077:783,7115384615385:632,5:57:66:82:2531:2143:2122
2013-08-06:0,0:32,30769230769231:67,6923076923077:783,7115384615385:632,5:57:66:82:2531:2143:2122
2013-08-07:0,0:33,33333333333333:66,66666666666666:769,9245283018868:628,0:1:58:67:2532:2144:2123
2013-08-08:0,0:33,33333333333333:66,66666666666666:770,9245283018868:629,0:2:59:68:2533:2145:2124
2013-08-08:0,0:33,33333333333333:66,66666666666666:770,9245283018868:629,0:2:59:68:2533:2145:2124
2013-08-13:0,0:33,33333333333333:66,66666666666666:775,9245283018868:634,0:7:64:73:2538:2150:2129
2013-08-14:0,0:33,33333333333333:66,66666666666666:776,9245283018868:635,0:8:65:74:2539:2151:2130
2013-08-14:0,0:33,33333333333333:66,66666666666666:776,9245283018868:635,0:8:65:74:2539:2151:2130
2013-08-14:0,0:33,33333333333333:66,66666666666666:776,9245283018868:635,0:8:65:74:2539:2151:2130
2013-08-21:0,0:34,32835820895522:65,67164179104478:783,9245283018868:642,0:15:72:81:2546:2158:2137
2013-09-03:0,0:34,32835820895522:65,67164179104478:782,2777777777778:648,5:6:28:85:2559:2171:2150
2013-09-03:0,0:34,32835820895522:65,67164179104478:782,2777777777778:648,5:6:28:85:2559:2171:2150
2013-09-04:0,0:34,32835820895522:65,67164179104478:783,2777777777778:649,5:7:29:86:2560:2172:2151
