Date:Private:Public:Virtual Private
2013-06-28:31,818181818181817:84,84848484848484:0,0
2013-07-01:33,33333333333333:86,36363636363636:0,0
2013-07-02:33,84615384615385:86,15384615384616:0,0
2013-07-02:33,84615384615385:86,15384615384616:0,0
2013-07-02:33,84615384615385:86,15384615384616:0,0
2013-07-02:33,84615384615385:86,15384615384616:0,0
2013-07-03:34,375:85,9375:0,0
2013-07-03:34,375:85,9375:0,0
2013-07-03:34,375:85,9375:0,0
2013-07-03:33,84615384615385:86,15384615384616:0,0
2013-07-03:34,375:85,9375:0,0
2013-07-03:33,84615384615385:86,15384615384616:0,0
2013-07-04:34,375:85,9375:0,0
2013-07-04:34,375:85,9375:0,0
2013-07-04:34,375:85,9375:0,0
2013-07-04:35,9375:85,9375:0,0
2013-07-04:34,375:85,9375:0,0
2013-07-04:34,375:85,9375:0,0
2013-07-04:34,375:85,9375:0,0
2013-07-05:34,375:85,9375:0,0
2013-07-05:34,375:85,9375:0,0
2013-07-05:34,375:85,9375:0,0
2013-07-05:34,375:85,9375:0,0
2013-07-05:34,375:85,9375:0,0
2013-07-07:34,375:85,9375:0,0
2013-07-08:34,375:85,9375:0,0
2013-07-08:34,375:85,9375:0,0
2013-07-08:34,375:85,9375:0,0
2013-07-08:34,375:85,9375:0,0
2013-07-08:34,375:85,9375:0,0
2013-07-08:34,375:85,9375:0,0
2013-07-08:34,375:85,9375:0,0
2013-07-08:34,375:85,9375:0,0
2013-07-08:34,375:85,9375:0,0
2013-07-09:34,375:85,9375:0,0
2013-07-09:34,375:85,9375:0,0
2013-07-09:34,375:85,9375:0,0
2013-07-09:34,375:85,9375:0,0
2013-07-10:34,375:85,9375:0,0
2013-07-10:34,375:85,9375:0,0
2013-07-10:34,375:85,9375:0,0
2013-07-10:34,375:85,9375:0,0
2013-07-10:34,375:85,9375:0,0
2013-07-10:34,375:85,9375:0,0
2013-07-10:34,375:85,9375:0,0
2013-07-10:34,375:85,9375:0,0
2013-07-11:34,375:85,9375:0,0
2013-07-11:34,375:85,9375:0,0
2013-07-11:35,9375:85,9375:0,0
2013-07-11:35,9375:85,9375:0,0
2013-07-11:34,375:85,9375:0,0
2013-07-11:34,375:85,9375:0,0
2013-07-12:34,375:85,9375:0,0
2013-07-12:34,375:85,9375:0,0
2013-07-12:34,375:85,9375:0,0
2013-07-12:34,375:85,9375:0,0
