Date:Mean infrastructure per profile:Median infrastructure per profile:Top infrastructure per profile:Second infrastructure per profile:Third infrastructure per profile:North America:Europe:Asia:Oceania:South America:Africa
2013-06-28:1,9361702127659575:1,0:5:5:5:54,54545454545454:40,909090909090914:18,181818181818183:12,121212121212121:12,121212121212121:0,0
2013-07-01:1,9583333333333335:1,0:5:5:5:56,060606060606055:42,42424242424242:19,696969696969695:12,121212121212121:12,121212121212121:0,0
2013-07-02:2,145833333333333:1,0:12:5:5:56,92307692307692:43,07692307692308:20,0:12,307692307692308:12,307692307692308:0,0
2013-07-02:1,9583333333333335:1,0:5:5:5:56,92307692307692:43,07692307692308:20,0:12,307692307692308:12,307692307692308:0,0
2013-07-02:2,145833333333333:1,0:12:5:5:56,92307692307692:43,07692307692308:20,0:12,307692307692308:12,307692307692308:0,0
2013-07-02:2,145833333333333:1,0:12:5:5:56,92307692307692:43,07692307692308:20,0:12,307692307692308:12,307692307692308:0,0
2013-07-03:2,276595744680851:1,0:12:8:7:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-03:2,276595744680851:1,0:12:8:7:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-03:2,234042553191489:1,0:12:8:5:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-03:2,208333333333333:1,0:12:8:5:56,92307692307692:43,07692307692308:20,0:12,307692307692308:12,307692307692308:0,0
2013-07-03:2,234042553191489:1,0:12:8:5:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-03:2,145833333333333:1,0:12:5:5:56,92307692307692:43,07692307692308:20,0:12,307692307692308:12,307692307692308:0,0
2013-07-04:2,276595744680851:1,0:12:8:7:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-04:2,276595744680851:1,0:12:8:7:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-04:2,276595744680851:1,0:12:8:7:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-04:2,276595744680851:1,0:12:8:7:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-04:2,276595744680851:1,0:12:8:7:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-04:2,276595744680851:1,0:12:8:7:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-04:2,276595744680851:1,0:12:8:7:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-05:2,340425531914893:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-05:2,340425531914893:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-05:2,340425531914893:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-05:2,340425531914893:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-05:2,340425531914893:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-07:2,340425531914893:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-08:2,340425531914893:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-08:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-08:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-08:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-08:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-08:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-08:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-08:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-08:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-09:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-09:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-09:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-09:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-10:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-10:2,4468085106382977:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-10:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-10:2,382978723404255:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
2013-07-10:2,4468085106382977:1,0:12:8:8:56,25:43,75:20,3125:12,5:12,5:0,0
